Titulo;Autor;Editora;Categoria;Sinopse;Codigo;AnoPublicacao;Estoque;QtdPaginas
O Alquimista;Paulo Coelho;HarperOne;Ficção;A história de um jovem pastor andaluz em sua jornada para encontrar um tesouro nas pirâmides do Egito.;1;1988;12;208
A Revolução dos Bichos;George Orwell;Companhia das Letras;Ficção, Política;Uma sátira política onde os animais de uma fazenda se revoltam contra seus donos humanos.;2;1945;8;152
Dom Casmurro;Machado de Assis;Principis;Clássico;A vida de Bento Santiago e sua obsessão por Capitu.;3;1899;10;256
1984;George Orwell;Harvill Secker;Distopia;Uma visão sombria de um futuro totalitário e opressivo.;4;1949;13;328
Cem Anos de Solidão;Gabriel Garcia Marquez;Harper & Row;Realismo Mágico;A história épica da família Buendía na cidade fictícia de Macondo.;5;1967;7;417
O Pequeno Príncipe;Antoine de Saint-Exupéry;Reynal & Hitchcock;Infantil;A história de um pequeno príncipe que viaja de planeta em planeta.;6;1943;16;96
Orgulho e Preconceito;Jane Austen;T. Egerton;Romance;O relacionamento tumultuado entre Elizabeth Bennet e Fitzwilliam Darcy.;7;1813;9;279
O Morro dos Ventos Uivantes;Emily Brontë;Thomas Cautley Newby;Romance Gótico;A trágica história de amor entre Heathcliff e Catherine Earnshaw.;8;1847;5;416
O Nome da Rosa;Umberto Eco;Harcourt;Mistério, Histórico;Um monge franciscano investiga uma série de assassinatos em um mosteiro italiano.;9;1980;3;512
Harry Potter e a Pedra Filosofal;J.K. Rowling;Bloomsbury;Fantasia;A história do jovem bruxo Harry Potter e suas aventuras em Hogwarts.;10;1997;30;223
O Alquimista;Paulo Coelho;HarperOne;Ficção;A história de um jovem pastor andaluz em sua jornada para encontrar um tesouro nas pirâmides do Egito.;1;1988;12;208
A Revolução dos Bichos;George Orwell;Companhia das Letras;Ficção, Política;Uma sátira política onde os animais de uma fazenda se revoltam contra seus donos humanos.;2;1945;8;152
Dom Casmurro;Machado de Assis;Principis;Clássico;A vida de Bento Santiago e sua obsessão por Capitu.;3;1899;10;256
1984;George Orwell;Harvill Secker;Distopia;Uma visão sombria de um futuro totalitário e opressivo.;4;1949;15;328
Cem Anos de Solidão;Gabriel Garcia Marquez;Harper & Row;Realismo Mágico;A história épica da família Buendía na cidade fictícia de Macondo.;5;1967;7;417
O Pequeno Príncipe;Antoine de Saint-Exupéry;Reynal & Hitchcock;Infantil;A história de um pequeno príncipe que viaja de planeta em planeta.;6;1943;19;96
Orgulho e Preconceito;Jane Austen;T. Egerton;Romance;O relacionamento tumultuado entre Elizabeth Bennet e Fitzwilliam Darcy.;7;1813;9;279
O Morro dos Ventos Uivantes;Emily Brontë;Thomas Cautley Newby;Romance Gótico;A trágica história de amor entre Heathcliff e Catherine Earnshaw.;8;1847;5;416
O Nome da Rosa;Umberto Eco;Harcourt;Mistério, Histórico;Um monge franciscano investiga uma série de assassinatos em um mosteiro italiano.;9;1980;4;512
Harry Potter e a Pedra Filosofal;J.K. Rowling;Bloomsbury;Fantasia;A história do jovem bruxo Harry Potter e suas aventuras em Hogwarts.;10;1997;30;223
O Alquimista;Paulo Coelho;HarperOne;Ficção;A história de um jovem pastor andaluz em sua jornada para encontrar um tesouro nas pirâmides do Egito.;1;1988;12;208
A Revolução dos Bichos;George Orwell;Companhia das Letras;Ficção, Política;Uma sátira política onde os animais de uma fazenda se revoltam contra seus donos humanos.;2;1945;8;152
Dom Casmurro;Machado de Assis;Principis;Clássico;A vida de Bento Santiago e sua obsessão por Capitu.;3;1899;10;256
1984;George Orwell;Harvill Secker;Distopia;Uma visão sombria de um futuro totalitário e opressivo.;4;1949;13;328
Cem Anos de Solidão;Gabriel Garcia Marquez;Harper & Row;Realismo Mágico;A história épica da família Buendía na cidade fictícia de Macondo.;5;1967;7;417
O Pequeno Príncipe;Antoine de Saint-Exupéry;Reynal & Hitchcock;Infantil;A história de um pequeno príncipe que viaja de planeta em planeta.;6;1943;16;96
Orgulho e Preconceito;Jane Austen;T. Egerton;Romance;O relacionamento tumultuado entre Elizabeth Bennet e Fitzwilliam Darcy.;7;1813;9;279
O Morro dos Ventos Uivantes;Emily Brontë;Thomas Cautley Newby;Romance Gótico;A trágica história de amor entre Heathcliff e Catherine Earnshaw.;8;1847;5;416
O Nome da Rosa;Umberto Eco;Harcourt;Mistério, Histórico;Um monge franciscano investiga uma série de assassinatos em um mosteiro italiano.;9;1980;3;512
Harry Potter e a Pedra Filosofal;J.K. Rowling;Bloomsbury;Fantasia;A história do jovem bruxo Harry Potter e suas aventuras em Hogwarts.;10;1997;30;223
O Alquimista;Paulo Coelho;HarperOne;Ficção;A história de um jovem pastor andaluz em sua jornada para encontrar um tesouro nas pirâmides do Egito.;1;1988;12;208
A Revolução dos Bichos;George Orwell;Companhia das Letras;Ficção, Política;Uma sátira política onde os animais de uma fazenda se revoltam contra seus donos humanos.;2;1945;8;152
Dom Casmurro;Machado de Assis;Principis;Clássico;A vida de Bento Santiago e sua obsessão por Capitu.;3;1899;10;256
1984;George Orwell;Harvill Secker;Distopia;Uma visão sombria de um futuro totalitário e opressivo.;4;1949;15;328
Cem Anos de Solidão;Gabriel Garcia Marquez;Harper & Row;Realismo Mágico;A história épica da família Buendía na cidade fictícia de Macondo.;5;1967;7;417
O Pequeno Príncipe;Antoine de Saint-Exupéry;Reynal & Hitchcock;Infantil;A história de um pequeno príncipe que viaja de planeta em planeta.;6;1943;19;96
Orgulho e Preconceito;Jane Austen;T. Egerton;Romance;O relacionamento tumultuado entre Elizabeth Bennet e Fitzwilliam Darcy.;7;1813;9;279
O Morro dos Ventos Uivantes;Emily Brontë;Thomas Cautley Newby;Romance Gótico;A trágica história de amor entre Heathcliff e Catherine Earnshaw.;8;1847;5;416
O Nome da Rosa;Umberto Eco;Harcourt;Mistério, Histórico;Um monge franciscano investiga uma série de assassinatos em um mosteiro italiano.;9;1980;4;512
Harry Potter e a Pedra Filosofal;J.K. Rowling;Bloomsbury;Fantasia;A história do jovem bruxo Harry Potter e suas aventuras em Hogwarts.;10;1997;30;223
O Alquimista;Paulo Coelho;HarperOne;Ficção;A história de um jovem pastor andaluz em sua jornada para encontrar um tesouro nas pirâmides do Egito.;1;1988;12;208
A Revolução dos Bichos;George Orwell;Companhia das Letras;Ficção, Política;Uma sátira política onde os animais de uma fazenda se revoltam contra seus donos humanos.;2;1945;8;152
Dom Casmurro;Machado de Assis;Principis;Clássico;A vida de Bento Santiago e sua obsessão por Capitu.;3;1899;10;256
1984;George Orwell;Harvill Secker;Distopia;Uma visão sombria de um futuro totalitário e opressivo.;4;1949;13;328
Cem Anos de Solidão;Gabriel Garcia Marquez;Harper & Row;Realismo Mágico;A história épica da família Buendía na cidade fictícia de Macondo.;5;1967;7;417
O Pequeno Príncipe;Antoine de Saint-Exupéry;Reynal & Hitchcock;Infantil;A história de um pequeno príncipe que viaja de planeta em planeta.;6;1943;16;96
Orgulho e Preconceito;Jane Austen;T. Egerton;Romance;O relacionamento tumultuado entre Elizabeth Bennet e Fitzwilliam Darcy.;7;1813;9;279
O Morro dos Ventos Uivantes;Emily Brontë;Thomas Cautley Newby;Romance Gótico;A trágica história de amor entre Heathcliff e Catherine Earnshaw.;8;1847;5;416
O Nome da Rosa;Umberto Eco;Harcourt;Mistério, Histórico;Um monge franciscano investiga uma série de assassinatos em um mosteiro italiano.;9;1980;3;512
Harry Potter e a Pedra Filosofal;J.K. Rowling;Bloomsbury;Fantasia;A história do jovem bruxo Harry Potter e suas aventuras em Hogwarts.;10;1997;30;223
O Alquimista;Paulo Coelho;HarperOne;Ficção;A história de um jovem pastor andaluz em sua jornada para encontrar um tesouro nas pirâmides do Egito.;1;1988;12;208
A Revolução dos Bichos;George Orwell;Companhia das Letras;Ficção, Política;Uma sátira política onde os animais de uma fazenda se revoltam contra seus donos humanos.;2;1945;8;152
Dom Casmurro;Machado de Assis;Principis;Clássico;A vida de Bento Santiago e sua obsessão por Capitu.;3;1899;10;256
1984;George Orwell;Harvill Secker;Distopia;Uma visão sombria de um futuro totalitário e opressivo.;4;1949;15;328
Cem Anos de Solidão;Gabriel Garcia Marquez;Harper & Row;Realismo Mágico;A história épica da família Buendía na cidade fictícia de Macondo.;5;1967;7;417
O Pequeno Príncipe;Antoine de Saint-Exupéry;Reynal & Hitchcock;Infantil;A história de um pequeno príncipe que viaja de planeta em planeta.;6;1943;19;96
Orgulho e Preconceito;Jane Austen;T. Egerton;Romance;O relacionamento tumultuado entre Elizabeth Bennet e Fitzwilliam Darcy.;7;1813;9;279
O Morro dos Ventos Uivantes;Emily Brontë;Thomas Cautley Newby;Romance Gótico;A trágica história de amor entre Heathcliff e Catherine Earnshaw.;8;1847;5;416
O Nome da Rosa;Umberto Eco;Harcourt;Mistério, Histórico;Um monge franciscano investiga uma série de assassinatos em um mosteiro italiano.;9;1980;4;512
Harry Potter e a Pedra Filosofal;J.K. Rowling;Bloomsbury;Fantasia;A história do jovem bruxo Harry Potter e suas aventuras em Hogwarts.;10;1997;30;223
O Alquimista;Paulo Coelho;HarperOne;Ficção;A história de um jovem pastor andaluz em sua jornada para encontrar um tesouro nas pirâmides do Egito.;1;1988;12;208
A Revolução dos Bichos;George Orwell;Companhia das Letras;Ficção, Política;Uma sátira política onde os animais de uma fazenda se revoltam contra seus donos humanos.;2;1945;8;152
Dom Casmurro;Machado de Assis;Principis;Clássico;A vida de Bento Santiago e sua obsessão por Capitu.;3;1899;10;256
1984;George Orwell;Harvill Secker;Distopia;Uma visão sombria de um futuro totalitário e opressivo.;4;1949;13;328
Cem Anos de Solidão;Gabriel Garcia Marquez;Harper & Row;Realismo Mágico;A história épica da família Buendía na cidade fictícia de Macondo.;5;1967;7;417
O Pequeno Príncipe;Antoine de Saint-Exupéry;Reynal & Hitchcock;Infantil;A história de um pequeno príncipe que viaja de planeta em planeta.;6;1943;16;96
Orgulho e Preconceito;Jane Austen;T. Egerton;Romance;O relacionamento tumultuado entre Elizabeth Bennet e Fitzwilliam Darcy.;7;1813;9;279
O Morro dos Ventos Uivantes;Emily Brontë;Thomas Cautley Newby;Romance Gótico;A trágica história de amor entre Heathcliff e Catherine Earnshaw.;8;1847;5;416
O Nome da Rosa;Umberto Eco;Harcourt;Mistério, Histórico;Um monge franciscano investiga uma série de assassinatos em um mosteiro italiano.;9;1980;3;512
Harry Potter e a Pedra Filosofal;J.K. Rowling;Bloomsbury;Fantasia;A história do jovem bruxo Harry Potter e suas aventuras em Hogwarts.;10;1997;30;223
O Alquimista;Paulo Coelho;HarperOne;Ficção;A história de um jovem pastor andaluz em sua jornada para encontrar um tesouro nas pirâmides do Egito.;1;1988;12;208
A Revolução dos Bichos;George Orwell;Companhia das Letras;Ficção, Política;Uma sátira política onde os animais de uma fazenda se revoltam contra seus donos humanos.;2;1945;8;152
Dom Casmurro;Machado de Assis;Principis;Clássico;A vida de Bento Santiago e sua obsessão por Capitu.;3;1899;10;256
1984;George Orwell;Harvill Secker;Distopia;Uma visão sombria de um futuro totalitário e opressivo.;4;1949;15;328
Cem Anos de Solidão;Gabriel Garcia Marquez;Harper & Row;Realismo Mágico;A história épica da família Buendía na cidade fictícia de Macondo.;5;1967;7;417
O Pequeno Príncipe;Antoine de Saint-Exupéry;Reynal & Hitchcock;Infantil;A história de um pequeno príncipe que viaja de planeta em planeta.;6;1943;19;96
Orgulho e Preconceito;Jane Austen;T. Egerton;Romance;O relacionamento tumultuado entre Elizabeth Bennet e Fitzwilliam Darcy.;7;1813;9;279
O Morro dos Ventos Uivantes;Emily Brontë;Thomas Cautley Newby;Romance Gótico;A trágica história de amor entre Heathcliff e Catherine Earnshaw.;8;1847;5;416
O Nome da Rosa;Umberto Eco;Harcourt;Mistério, Histórico;Um monge franciscano investiga uma série de assassinatos em um mosteiro italiano.;9;1980;4;512
Harry Potter e a Pedra Filosofal;J.K. Rowling;Bloomsbury;Fantasia;A história do jovem bruxo Harry Potter e suas aventuras em Hogwarts.;10;1997;30;223
O Alquimista;Paulo Coelho;HarperOne;Ficção;A história de um jovem pastor andaluz em sua jornada para encontrar um tesouro nas pirâmides do Egito.;1;1988;12;208
A Revolução dos Bichos;George Orwell;Companhia das Letras;Ficção, Política;Uma sátira política onde os animais de uma fazenda se revoltam contra seus donos humanos.;2;1945;8;152
Dom Casmurro;Machado de Assis;Principis;Clássico;A vida de Bento Santiago e sua obsessão por Capitu.;3;1899;10;256
1984;George Orwell;Harvill Secker;Distopia;Uma visão sombria de um futuro totalitário e opressivo.;4;1949;13;328
Cem Anos de Solidão;Gabriel Garcia Marquez;Harper & Row;Realismo Mágico;A história épica da família Buendía na cidade fictícia de Macondo.;5;1967;7;417
O Pequeno Príncipe;Antoine de Saint-Exupéry;Reynal & Hitchcock;Infantil;A história de um pequeno príncipe que viaja de planeta em planeta.;6;1943;16;96
Orgulho e Preconceito;Jane Austen;T. Egerton;Romance;O relacionamento tumultuado entre Elizabeth Bennet e Fitzwilliam Darcy.;7;1813;9;279
O Morro dos Ventos Uivantes;Emily Brontë;Thomas Cautley Newby;Romance Gótico;A trágica história de amor entre Heathcliff e Catherine Earnshaw.;8;1847;5;416
O Nome da Rosa;Umberto Eco;Harcourt;Mistério, Histórico;Um monge franciscano investiga uma série de assassinatos em um mosteiro italiano.;9;1980;3;512
Harry Potter e a Pedra Filosofal;J.K. Rowling;Bloomsbury;Fantasia;A história do jovem bruxo Harry Potter e suas aventuras em Hogwarts.;10;1997;30;223
O Alquimista;Paulo Coelho;HarperOne;Ficção;A história de um jovem pastor andaluz em sua jornada para encontrar um tesouro nas pirâmides do Egito.;1;1988;12;208
A Revolução dos Bichos;George Orwell;Companhia das Letras;Ficção, Política;Uma sátira política onde os animais de uma fazenda se revoltam contra seus donos humanos.;2;1945;8;152
Dom Casmurro;Machado de Assis;Principis;Clássico;A vida de Bento Santiago e sua obsessão por Capitu.;3;1899;10;256
1984;George Orwell;Harvill Secker;Distopia;Uma visão sombria de um futuro totalitário e opressivo.;4;1949;15;328
Cem Anos de Solidão;Gabriel Garcia Marquez;Harper & Row;Realismo Mágico;A história épica da família Buendía na cidade fictícia de Macondo.;5;1967;7;417
O Pequeno Príncipe;Antoine de Saint-Exupéry;Reynal & Hitchcock;Infantil;A história de um pequeno príncipe que viaja de planeta em planeta.;6;1943;19;96
Orgulho e Preconceito;Jane Austen;T. Egerton;Romance;O relacionamento tumultuado entre Elizabeth Bennet e Fitzwilliam Darcy.;7;1813;9;279
O Morro dos Ventos Uivantes;Emily Brontë;Thomas Cautley Newby;Romance Gótico;A trágica história de amor entre Heathcliff e Catherine Earnshaw.;8;1847;5;416
O Nome da Rosa;Umberto Eco;Harcourt;Mistério, Histórico;Um monge franciscano investiga uma série de assassinatos em um mosteiro italiano.;9;1980;4;512
Harry Potter e a Pedra Filosofal;J.K. Rowling;Bloomsbury;Fantasia;A história do jovem bruxo Harry Potter e suas aventuras em Hogwarts.;10;1997;30;223
